business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
"Lovely Cannabis, LLC","
SCLT0065
",Adult-Use,,122,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Lovely Cannabis, LLC",2023-04-25T08:24:42.203784,,,,,
Cleary Farm Cannabis LLC,"
SCLT0058
",Adult-Use,,123,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cleary Farm Cannabis LLC,2023-04-25T08:24:42.203784,,,,,
Life Arises Farm LLC,"
SCLT0076
",Adult-Use,,124,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Life Arises Farm LLC,2023-04-25T08:24:42.203784,,,,,
Bud Bird Farm,"
SCLT0046
",Adult-Use,,125,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Bud Bird Farm,2023-04-25T08:24:42.203784,,,,,
Highly Rooted,"
SCLT0100
",Adult-Use,,126,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Highly Rooted,2023-04-25T08:24:42.203784,,,,,
Brookfield Buds LLC,"
SCLT0043
",Adult-Use,,127,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Brookfield Buds LLC,2023-04-25T08:24:42.203784,,,,,
TrichomeVT,"
SCLT0055
",Adult-Use,,128,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,TrichomeVT,2023-04-25T08:24:42.203784,,,,,
Vermont LTC Grow,"
SCLT0129
",Adult-Use,,129,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont LTC Grow,2023-04-25T08:24:42.203784,,,,,
Peanut's Garden LLC,"
SCLT0091
",Adult-Use,,130,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Peanut's Garden LLC,2023-04-25T08:24:42.203784,,,,,
Encore Herbals LLC,"
SCLT0059
",Adult-Use,,131,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Encore Herbals LLC,2023-04-25T08:24:42.203784,,,,,
El Pasic Farm,"
SCLT0052
",Adult-Use,,132,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,El Pasic Farm,2023-04-25T08:24:42.203784,,,,,
