license_number,id,business_dba_name,license_type,license_status,address,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,business_email,business_image_url,data_refreshed_date
12768,1052541,SECRET GARDEN CANNABIS,Retail Marijuana Store,Active-Operating,"726 E. 15th AVE, Suite 1, Anchorage, AK 99501, UNITED STATES",SECRET GARDEN CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Anchorage,,,2024-03-24T22:01:20.007861
12866,1038791,UNCLE HERB'S,Retail Marijuana Store,Active-Operating,"1213 Ocean Drive, Unit 2, Homer, AK 99603, UNITED STATES",UNCLE HERB'S,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 2,Homer,,,2024-03-24T22:01:20.007861
12956,1040267,GRASS STATION 49,Retail Marijuana Store,Active-Operating,"665 Rainbow Drive, Fairbanks, AK 99712, UNITED STATES",GRASS STATION 49,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99712,,,2024-03-24T22:01:20.007861
13119,1051864,REBEL ROOTS LLC,Retail Marijuana Store,Active-Operating,"2575 Goldstream Road, Fairbanks, AK 99709, UNITED STATES",REBEL ROOTS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99709,,,2024-03-24T22:01:20.007861
13217,1047535,GLACIER VALLEY SHOP,Retail Marijuana Store,Active-Operating,"8505 Old Dairy Road, Suite 1, Juneau, AK 99801, UNITED STATES",GLACIER VALLEY SHOP,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Juneau,,,2024-03-24T22:01:20.007861
13279,1054744,THE MASON JAR LLC,Retail Marijuana Store,Active-Operating,"2771 sherwood Lane, Unit E, Juneau, AK 99801, UNITED STATES",THE MASON JAR LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit E,Juneau,,,2024-03-24T22:01:20.007861
13382,1054904,EAST RIP,Retail Marijuana Store,Active-Operating,"10767 KENAI SPUR HWY, SUITE D, KENAI, AK 99611, UNITED STATES",EAST RIP,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,SUITE D,KENAI,,,2024-03-24T22:01:20.007861
14083,2089241,Alaska Weeds,Retail Marijuana Store,Active-Operating,"6209 Mike St., Suite 2A, Anchorage, AK 99518, UNITED STATES",Alaska Weeds,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 2A,Anchorage,,,2024-03-24T22:01:20.007861
14200,2091163,Matanuska Cannabis Company,Retail Marijuana Store,Active-Operating,"3550 S. Old Glenn Highway, Palmer, AK 99645, UNITED STATES",Matanuska Cannabis Company,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,,,2024-03-24T22:01:20.007861
14359,1039577,"TIP TOP, LLC",Retail Marijuana Store,Active-Operating,"233 E. 5th Avenue, Suite 1, Anchorage, AK 99501, UNITED STATES","TIP TOP, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Anchorage,,,2024-03-24T22:01:20.007861
15019,1058469,THE TREE HOUSE AK,Retail Marijuana Store,Active-Operating,"341-d Boniface PKWY, Anchorage, AK 99504, UNITED STATES",THE TREE HOUSE AK,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99504,,,2024-03-24T22:01:20.007861
15061,1060238,WINTER GREENS LLC,Retail Marijuana Store,Active-Operating,"75 beach road, haines, AK 99827, UNITED STATES",WINTER GREENS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,haines,99827,,,2024-03-24T22:01:20.007861
15246,1060209,THUNDER CLOUD 9,Retail Marijuana Store,Active-Operating,"5310 COMMERCIAL BLVD, 2B, Juneau, AK 99801, UNITED STATES",THUNDER CLOUD 9,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,2B,Juneau,,,2024-03-24T22:01:20.007861
