license_number,business_dba_name,id,license_type,LicenseStatus,premise_county,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date
22741245849235539745,Cn Licensco Iii Inc,22741245849235539745,Retail Production,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CN LICENSCO III INC,,,,,,,,,2024-07-10
22897076676795690110,Agua Street Llc,22897076676795690110,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,AGUA STREET LLC,,,,,,,,,2024-07-10
23003643426806888206,Ded Ops Nv Llc,23003643426806888206,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DED OPS NV LLC,,,,,,,,,2024-07-10
23318360480667209895,The Cure Company Nv Llc,23318360480667209895,Retail Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,THE CURE COMPANY NV LLC,,,,,,,,,2024-07-10
23366229281756137118,"Production Series, A Series Of Just Quality Llc",23366229281756137118,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,"Production Series, a series of JUST QUALITY LLC",,,,,,,,,2024-07-10
23926610187861506378,Good Chemistry Nevada Llc,23926610187861506378,Retail Cultivation,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GOOD CHEMISTRY NEVADA LLC,,,,,,,,,2024-07-10
24170469501580671157,Pure Tonic Concentrates Llc,24170469501580671157,Retail Dispensary,Active,Storey,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PURE TONIC CONCENTRATES LLC,,,,,,,,,2024-07-10
24344359150856320396,Inyo Fine Cannabis Dispensary Llc,24344359150856320396,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,INYO FINE CANNABIS DISPENSARY LLC,,,,,,,,,2024-07-10
24665787413575467233,Zion Gardens Llc,24665787413575467233,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ZION GARDENS LLC,,,,,,,,,2024-07-10
24840464563491081056,Southern Nevada Growers Llc,24840464563491081056,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SOUTHERN NEVADA GROWERS LLC,,,,,,,,,2024-07-10
